step,time,event_type,selected_rule,masked,travel,charging,tardiness,waiting,conflict_wait,rejection,standby,total
57,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
58,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
59,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
60,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
61,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
62,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
63,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
64,0.0,DEADLOCK_RISK,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
65,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,20.5,0.0,1.5,22.0
66,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,1.7000000000000002,0.0,1.5,3.2
67,0.0,DEADLOCK_RISK,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
68,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,22.1,0.0,1.5,23.6
69,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
70,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
71,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
72,3.2304404051266147,TASK_ARRIVAL,2,False,64.60880810253258,0.0,0.0,0.0,0.0,0.0,0.0,67.83924850765919
73,3.100788083125531,ROBOT_IDLE,8,True,62.01576166251061,0.0,0.0,0.0,0.0,0.0,1.5,66.61654974563615
74,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
75,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
