time,vehicle_id,status,x,y,soc,battery,battery_capacity,load,load_ratio,capacity,speed,idle,current_time
0.0,1,idle,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,0.0
0.0,2,idle,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,0.0
0.0,3,idle,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,0.0
0.0,1,moving,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,30.0
0.0,2,idle,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,0.0
0.0,3,idle,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,0.0
0.0,1,moving,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,30.0
0.0,2,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,62.01562118716424
0.0,3,idle,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,0.0
30.0,1,idle,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,30.0
30.0,2,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,62.01562118716424
30.0,3,moving,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,30.0
30.0,1,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,96.03124237432849
30.0,2,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,62.01562118716424
30.0,3,idle,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,30.0
60.0,1,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,96.03124237432849
60.0,2,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,62.01562118716424
60.0,3,idle,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,60.0
62.01562118716424,1,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,96.03124237432849
62.01562118716424,2,idle,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,1,62.01562118716424
62.01562118716424,3,moving,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,90.0
90.0,1,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,96.03124237432849
90.0,2,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,128.03124237432849
90.0,3,idle,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,90.0
96.03124237432849,1,idle,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,1,96.03124237432849
96.03124237432849,2,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,128.03124237432849
96.03124237432849,3,moving,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,120.0
120.0,1,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,126.03124237432849
120.0,2,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,128.03124237432849
120.0,3,idle,50.0,40.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,120.0
126.03124237432849,1,idle,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,1,126.03124237432849
126.03124237432849,2,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,128.03124237432849
126.03124237432849,3,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,182.01562118716424
128.03124237432849,1,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,214.01562118716424
128.03124237432849,2,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,128.03124237432849
128.03124237432849,3,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,182.01562118716424
128.03124237432849,1,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,246.01562118716424
128.03124237432849,2,idle,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,1,128.03124237432849
128.03124237432849,3,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,182.01562118716424
182.01562118716424,1,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,246.01562118716424
182.01562118716424,2,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,278.01562118716424
182.01562118716424,3,idle,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,1,182.01562118716424
182.31908539741715,1,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,246.01562118716424
182.31908539741715,2,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,278.01562118716424
182.31908539741715,3,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,212.01562118716424
212.01562118716424,1,assigned,52.53796461482037,12.742871994562577,0.6938571928357068,69.38571928357068,100.0,0.0,0.0,150.0,2.0,0,393.3641945122444
212.01562118716424,2,moving,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,0,278.01562118716424
212.01562118716424,3,idle,0.0,0.0,0.8399218940641788,83.99218940641788,100.0,0.0,0.0,150.0,2.0,1,212.01562118716424
214.01562118716424,1,assigned,52.53796461482037,12.742871994562577,0.6938571928357068,69.38571928357068,100.0,0.0,0.0,150.0,2.0,0,393.3641945122444
