Scale,Method,Travel,Charging,Tardiness,Standby,Total
S,RL-APC,1417,131,137,64734,39846
S,Greedy-FR,8318,1850,17137,34641,94772
M,RL-APC,2979,331,22,61731,286665
M,Greedy-FR,3897,559,605,40388,281349
L,RL-APC,2872,103,145,113038,972882
L,Greedy-FR,11764,2234,8456,64323,377493
XL,RL-APC,6704,654,3365,27122,814344
XL,Greedy-FR,7520,848,177,26356,809830
