Scale,RL Completed,GR Completed,RL Rejected,GR Rejected,RL Delay,GR Delay
S,14.5,15.3,0.0,1.5,136.7,17137.0
M,18.1,11.5,0.0,21.8,21.9,604.8
L,9.9,30.4,0.0,18.1,144.6,8456.3
XL,22.2,20.0,1.5,57.7,3365.5,176.8
