Scale,Best Rule,Best Rule Cost,Best Compl,Best Rej,RL-APC Cost,RL Compl,RL Rej,Diff %,p-value,Sig
S,Standby-Lazy,45043,12.4,3.8,13162,14.5,0.0,-70.8,1.86e-08,***
M,Standby-Lazy,202882,13.8,19.2,48745,18.1,0.0,-76.0,1.86e-09,***
L,Charge-High,223112,30.4,16.8,101616,17.5,0.0,-54.5,7.99e-06,***
XL,Standby-Lazy,667971,18.8,64.6,130077,22.2,1.5,-80.5,1.86e-09,***
