time,task_id,prev_status,status,prev_assigned_vehicle_id,assigned_vehicle_id,pickup_node_id,delivery_node_id,demand,priority,arrival_time
480.09372712298546,1,pending,completed,,1,1,40,89.38007240231461,0,430.98519691109516
668.0937271229855,2,pending,completed,,1,2,41,80.23972059396768,0,620.2849929709622
784.7822376688143,3,pending,completed,,3,3,42,100.25464832452634,0,754.2943558122396
791.321664289591,4,pending,completed,,5,4,43,25.54836470571236,0,784.7822376688143
1797.3079816608297,5,pending,completed,,4,5,44,70.38597098974446,0,1559.1489835815842
1962.616325035865,6,pending,completed,,3,6,45,98.43001459346729,0,1797.3079816608297
2112.4899457039596,7,pending,completed,,4,7,46,82.94718325143045,0,1905.697453491523
2644.4975015224863,8,pending,completed,,4,8,47,49.63703093559904,0,2604.9893102906117
3113.8046689302355,9,pending,completed,,4,9,48,105.48358543775234,0,3108.2166355638255
3207.8046689302355,10,pending,completed,,4,10,49,42.87088497762936,0,3195.434445131841
10518.274369225115,29,pending,rejected,,,29,68,77.99278925963422,0,9445.758010135763
11488.744967341225,30,pending,rejected,,,30,69,75.4972049374215,0,10518.274369225115
11791.408179200034,31,pending,rejected,,,31,70,63.64501412033529,0,11488.744967341225
17372.079562526953,32,pending,rejected,,,32,71,90.11154935656099,0,11791.408179200034
17523.628964378382,33,pending,rejected,,,33,72,90.77617984880895,0,17372.079562526953
18162.27368704691,34,pending,rejected,,,34,73,29.798729575700598,0,17523.628964378382
28186.352614363022,36,pending,rejected,,,36,75,59.880774937157064,0,26872.250493982618
28217.613914626036,37,pending,rejected,,,37,76,104.03425600326261,0,28186.352614363022
28330.56176784214,38,pending,rejected,,,38,77,88.96150579256818,0,28217.613914626036
28330.56176784214,39,pending,rejected,,,39,78,59.31389646230184,0,28330.56176784214
