step,time,event_type,selected_rule,masked,travel,charging,tardiness,waiting,conflict_wait,rejection,standby,total
56,0.0,ROBOT_IDLE,11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,DEADLOCK_RISK,3,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,4.715236607042766,ROBOT_IDLE,2,False,94.30473214085532,0.0,0.0,0.0,0.0,0.0,0.0,99.01996874789809
59,0.0,TASK_ARRIVAL,6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,8.305468700440462,CHARGE_DONE,1,False,166.10937400880914,0.0,0.0,0.0,0.0,0.0,0.0,174.4148427092496
61,5.420199734337462,CHARGE_DONE,8,False,108.40399468674946,0.0,0.0,0.0,2.08962673092592,0.0,1.5,117.41382115201283
62,0.0,CHARGE_DONE,8,False,0.0,0.0,0.0,0.0,3.0,0.0,1.5,4.5
63,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,DEADLOCK_RISK,6,True,50.07397031130836,17.47698828312949,0.0,0.0,0.0,0.0,0.0,67.55095859443784
65,6.046693311223908,ROBOT_IDLE,7,False,120.93386622447815,20.547109467895645,0.0,0.0,0.0,0.0,0.0,147.5276690035977
66,0.0,DEADLOCK_RISK,7,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,6.046693311223908,ROBOT_IDLE,6,False,120.93386622447815,20.54710946789565,0.0,0.0,1.523346655611954,0.0,0.0,149.05101565920967
68,6.046693311223908,CHARGE_DONE,8,False,120.93386622447815,0.0,0.0,0.0,0.0,0.0,1.5,128.48055953570207
69,0.0,CHARGE_DONE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
70,0.0,ROBOT_IDLE,7,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,CHARGE_DONE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
72,0.0,CHARGE_DONE,6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
