time,task_id,prev_status,status,prev_assigned_vehicle_id,assigned_vehicle_id,pickup_node_id,delivery_node_id,demand,priority,arrival_time
160.06248474865697,1,pending,completed,,1,1,55,101.75637502077396,0,156.975528069988
556.2499389946279,2,pending,completed,,8,2,56,104.44506171463712,0,273.96584607830835
983.8499389946278,3,pending,completed,,6,3,57,60.90279219978675,0,935.5874048749267
1487.0183757232871,4,pending,completed,,3,4,58,88.92544255090284,0,1342.3294058474307
1588.6183757232873,5,pending,completed,,5,5,59,92.08821984471987,0,1573.86684396049
1787.1277757366927,6,pending,completed,,5,6,60,102.1409292719688,0,1652.2084954333664
2019.0183757232871,8,pending,completed,,5,8,62,65.26403835072334,0,1939.4440145225844
2115.7912635445596,7,pending,completed,,8,7,61,95.19045844707568,0,1856.3153541925985
4785.338042897809,9,pending,completed,,5,9,63,84.49219591161891,0,2115.7912635445596
4849.946596368617,16,pending,completed,,5,16,70,78.99436520068427,0,3718.9833930068876
4944.091059942512,19,pending,rejected,,,19,73,128.83620208267402,0,4849.946596368617
4944.091059942512,10,pending,rejected,,,10,64,74.84890370338493,0,2166.5390535847546
5268.357963296122,11,pending,rejected,,,11,65,69.5678381700214,0,2206.4233153885434
5378.484776351166,20,pending,rejected,,,20,74,76.15575080010802,0,5268.357963296122
5483.2058102298215,21,pending,rejected,,,21,75,93.90096953893757,0,5378.484776351166
5754.214423676047,22,pending,rejected,,,22,76,76.36011154648149,0,5483.2058102298215
5926.0363515014305,23,pending,rejected,,,23,77,82.6959063354252,0,5754.214423676047
6014.77560726003,24,pending,rejected,,,24,78,67.033666749794,0,5926.0363515014305
6456.311357300681,25,pending,rejected,,,25,79,112.99671765009091,0,6014.77560726003
6666.958690543574,26,pending,rejected,,,26,80,105.20974611054824,0,6456.311357300681
6695.56193558751,27,pending,rejected,,,27,81,30.137213103098958,0,6666.958690543574
7544.775659333912,28,pending,rejected,,,28,82,76.52075615417893,0,6695.56193558751
7655.2838167204145,29,pending,rejected,,,29,83,63.755256354179195,0,7544.775659333912
7876.368237626651,30,pending,rejected,,,30,84,73.93755933102179,0,7655.2838167204145
9454.140140081516,31,pending,rejected,,,31,85,109.53631806260745,0,7876.368237626651
9870.98270273461,32,pending,rejected,,,32,86,25.75082200137404,0,9454.140140081516
10147.005374825963,33,pending,rejected,,,33,87,121.24102152583198,0,9870.98270273461
10286.2167157254,34,pending,rejected,,,34,88,76.71150286415956,0,10147.005374825963
10900.48803481276,35,pending,rejected,,,35,89,78.48292367692758,0,10286.2167157254
11513.999801580672,36,pending,rejected,,,36,90,90.65338138238121,0,10900.48803481276
11643.171148273177,37,pending,rejected,,,37,91,106.48547670029737,0,11513.999801580672
11855.439920212351,38,pending,rejected,,,38,92,93.70658128724499,0,11643.171148273177
17017.100555282665,39,pending,rejected,,,39,93,59.12934517467956,0,11855.439920212351
17089.664150017023,40,pending,rejected,,,40,94,98.42238870673629,0,17017.100555282665
17163.867448165787,41,pending,rejected,,,41,95,101.54348905507307,0,17089.664150017023
18145.32908998346,42,pending,rejected,,,42,96,91.92811706009604,0,17163.867448165787
18854.896237798297,43,pending,rejected,,,43,97,74.27214510702407,0,18145.32908998346
21180.157990573105,44,pending,rejected,,,44,98,68.7321653484845,0,18854.896237798297
22058.637893078292,45,pending,rejected,,,45,99,74.8028796831307,0,21180.157990573105
22545.89511842834,46,pending,rejected,,,46,100,92.83339634182981,0,22058.637893078292
22797.3123271168,47,pending,rejected,,,47,101,78.75813725198746,0,22545.89511842834
2993.018375723287,12,pending,rejected,,,12,66,91.89459076904545,0,2970.3780692222813
3019.291250391044,13,pending,rejected,,,13,67,78.94817741990921,0,2998.0650864838362
3025.018375723287,14,pending,rejected,,,14,68,100.79382982546016,0,3019.291250391044
3451.018375723287,15,pending,rejected,,,15,69,106.61190847736718,0,3424.4712145972812
4161.018375723287,17,pending,rejected,,,17,71,37.114335155260974,0,4141.737502312044
4573.018375723287,18,pending,rejected,,,18,72,35.31017304233192,0,4571.304236165441
22803.018375723288,48,pending,rejected,,,48,102,100.57189733018018,0,22797.3123271168
25533.018375723288,49,pending,rejected,,,49,103,79.26782636047027,0,25531.687294528714
26619.018375723288,50,pending,rejected,,,50,104,73.31138583939409,0,26603.169696624813
27279.018375723288,51,pending,rejected,,,51,105,57.824582329022526,0,27263.946903595854
27471.018375723288,52,pending,rejected,,,52,106,74.66960660770447,0,27454.301059422894
28597.018375723288,53,pending,rejected,,,53,107,81.57021164215854,0,28580.2825478957
28757.018375723288,54,pending,rejected,,,54,108,78.92073140652518,0,28756.1366831102
