time,task_id,prev_status,status,prev_assigned_vehicle_id,assigned_vehicle_id,pickup_node_id,delivery_node_id,demand,priority,arrival_time,scenario_id
110.2178106510685,1,pending,pending,,,1,55,112.77808200728515,0,110.2178106510685,0
186.0795556801026,1,pending,pending,,,1,55,66.16816991668608,0,186.0795556801026,2
195.6481662751905,2,pending,pending,,,2,56,67.57392567293233,0,195.6481662751905,2
246.51288477567377,3,pending,pending,,,3,57,65.80348364535723,0,246.51288477567377,2
308.1623414787625,2,pending,pending,,,2,56,60.77301992250245,0,308.1623414787625,0
452.31720407745183,3,pending,pending,,,3,57,54.31216090749304,0,452.31720407745183,0
482.7324814908245,4,pending,pending,,,4,58,95.77250211548387,0,482.7324814908245,2
722.3410567081636,1,pending,pending,,,1,55,100.54126776780694,0,722.3410567081636,1
786.2998345117685,5,pending,pending,,,5,59,114.49323904280122,0,786.2998345117685,2
872.7303568684214,4,pending,pending,,,4,58,100.36514983443986,0,872.7303568684214,0
978.2525322813747,6,pending,pending,,,6,60,96.3291132080413,0,978.2525322813747,2
1037.7479967130232,7,pending,pending,,,7,61,71.34868988623019,0,1037.7479967130232,2
1070.9008665204137,5,pending,pending,,,5,59,82.995012170044,0,1070.9008665204137,0
1162.128624646225,8,pending,pending,,,8,62,115.78964376583863,0,1162.128624646225,2
1211.72135879238,9,pending,pending,,,9,63,94.58199595729418,0,1211.72135879238,2
1302.7150774134168,10,pending,pending,,,10,64,74.06980724421717,0,1302.7150774134168,2
1421.7003414478334,2,pending,pending,,,2,56,57.82798781292104,0,1421.7003414478334,1
1610.7757763309016,11,pending,pending,,,11,65,88.84467764180822,0,1610.7757763309016,2
1642.931022701731,6,pending,pending,,,6,60,51.980905896396294,0,1642.931022701731,0
1913.862550680316,12,pending,pending,,,12,66,98.45637725709418,0,1913.862550680316,2
2016.7347680616388,3,pending,pending,,,3,57,72.75936004992873,0,2016.7347680616388,1
2025.435298428734,7,pending,pending,,,7,61,77.22264705098047,0,2025.435298428734,0
2198.861490855402,8,pending,pending,,,8,62,76.71210266290392,0,2198.861490855402,0
2367.624073862241,9,pending,pending,,,9,63,64.74700599349113,0,2367.624073862241,0
2395.4854965400746,4,pending,pending,,,4,58,93.54489768620996,0,2395.4854965400746,1
2421.8067051108537,13,pending,pending,,,13,67,44.41458772461466,0,2421.8067051108537,2
2514.7705193697425,5,pending,pending,,,5,59,30.538330932435443,0,2514.7705193697425,1
2522.3194418201783,10,pending,pending,,,10,64,107.99401174238406,0,2522.3194418201783,0
2561.3348121069316,6,pending,pending,,,6,60,65.00303041619463,0,2561.3348121069316,1
2561.521823544411,11,pending,pending,,,11,65,96.59182272128999,0,2561.521823544411,0
2570.312409366746,12,pending,pending,,,12,66,39.6937433428216,0,2570.312409366746,0
2656.130150133616,7,pending,pending,,,7,61,116.20918174686477,0,2656.130150133616,1
2959.2801593292834,8,pending,pending,,,8,62,83.14718869722265,0,2959.2801593292834,1
2994.789546189074,14,pending,pending,,,14,68,59.402369692486175,0,2994.789546189074,2
3020.907655665388,13,pending,pending,,,13,67,111.27969760893421,0,3020.907655665388,0
3028.3492613671865,14,pending,pending,,,14,68,74.21039020901104,0,3028.3492613671865,0
3137.719726860562,15,pending,pending,,,15,69,81.29857934264139,0,3137.719726860562,2
3188.980492285715,9,pending,pending,,,9,63,121.55722263715111,0,3188.980492285715,1
3639.39709620614,16,pending,pending,,,16,70,32.38226209948707,0,3639.39709620614,2
3639.611669415708,17,pending,pending,,,17,71,54.58479578517586,0,3639.611669415708,2
3663.545150462753,15,pending,pending,,,15,69,90.9192167581577,0,3663.545150462753,0
3807.882638559622,18,pending,pending,,,18,72,93.74243180893251,0,3807.882638559622,2
3901.2229423883214,10,pending,pending,,,10,64,109.76870644389837,0,3901.2229423883214,1
4052.7356812769667,16,pending,pending,,,16,70,49.51855800390477,0,4052.7356812769667,0
4066.327416611773,11,pending,pending,,,11,65,117.31684783432709,0,4066.327416611773,1
4105.794422214522,12,pending,pending,,,12,66,114.96105501144429,0,4105.794422214522,1
4404.977784839029,17,pending,pending,,,17,71,77.81378639390952,0,4404.977784839029,0
4432.305062894513,19,pending,pending,,,19,73,101.43648515412968,0,4432.305062894513,2
4689.905780634015,13,pending,pending,,,13,67,47.25155310446081,0,4689.905780634015,1
5079.497712951716,18,pending,pending,,,18,72,100.56986559313091,0,5079.497712951716,0
5154.915171924434,19,pending,pending,,,19,73,57.01476242627379,0,5154.915171924434,0
5178.422860056324,20,pending,pending,,,20,74,61.64875691053159,0,5178.422860056324,2
5237.666776373015,14,pending,pending,,,14,68,88.6761109837785,0,5237.666776373015,1
5296.132042813356,15,pending,pending,,,15,69,81.05732769030122,0,5296.132042813356,1
5346.717540236604,20,pending,pending,,,20,74,88.77017950989837,0,5346.717540236604,0
5389.1340879662475,21,pending,pending,,,21,75,63.96297374780496,0,5389.1340879662475,0
5592.091838302023,16,pending,pending,,,16,70,68.4388653423366,0,5592.091838302023,1
5763.951502241704,21,pending,pending,,,21,75,111.51177296517108,0,5763.951502241704,2
5806.36633949015,17,pending,pending,,,17,71,60.17145580165903,0,5806.36633949015,1
5847.657654403087,22,pending,pending,,,22,76,83.65449238689366,0,5847.657654403087,0
5958.350497446843,18,pending,pending,,,18,72,10.652297694860465,0,5958.350497446843,1
6021.526997770026,22,pending,pending,,,22,76,88.10630240884963,0,6021.526997770026,2
6023.482000349664,23,pending,pending,,,23,77,75.9907316851135,0,6023.482000349664,0
6088.684405296765,19,pending,pending,,,19,73,77.17015854987923,0,6088.684405296765,1
6116.288422093245,20,pending,pending,,,20,74,89.59634915634976,0,6116.288422093245,1
6143.997694599291,24,pending,pending,,,24,78,57.99817853207834,0,6143.997694599291,0
6153.233266366157,25,pending,pending,,,25,79,80.01754002076908,0,6153.233266366157,0
6221.139698367298,26,pending,pending,,,26,80,57.66039501410893,0,6221.139698367298,0
6256.844690341339,23,pending,pending,,,23,77,90.74328280029913,0,6256.844690341339,2
6502.533953763925,24,pending,pending,,,24,78,83.41378157889471,0,6502.533953763925,2
6544.419542655118,27,pending,pending,,,27,81,82.52574902303502,0,6544.419542655118,0
6572.296809502796,28,pending,pending,,,28,82,104.49763259877014,0,6572.296809502796,0
