time,task_id,prev_status,status,prev_assigned_vehicle_id,assigned_vehicle_id,pickup_node_id,delivery_node_id,demand,priority,arrival_time
194.04686356149273,1,pending,completed,,1,1,16,80.28075631694543,0,182.31908539741715
1266.4260607812314,2,pending,completed,,1,2,17,78.19368651904324,0,1243.954403375923
3937.7383456637526,3,pending,completed,,3,3,18,63.637405643073016,0,3903.6926999307825
6287.738345663753,4,pending,completed,,2,4,19,34.48584461032298,0,6108.407728882229
7283.738345663753,5,pending,completed,,3,5,20,81.1499647060459,0,7076.228781019443
8709.738345663753,6,pending,completed,,2,6,21,79.5027225358123,0,8426.222069334684
8709.738345663753,7,pending,completed,,2,7,22,56.13099160799034,0,8592.286606659953
8997.373696739865,8,pending,completed,,2,8,23,97.5582074565232,0,8852.855550749591
9170.377337276885,9,pending,completed,,2,9,24,125.72793110007413,0,8893.039809368602
14653.484454023723,10,pending,completed,,2,10,25,35.316263935997924,0,14418.987231272116
15992.421404684474,11,pending,completed,,2,11,26,54.61770390549813,0,15895.415969812622
16511.821651909144,12,pending,completed,,2,12,27,48.04081812847488,0,16401.46928406939
16511.821651909144,13,pending,completed,,2,13,28,99.60073760049666,0,16463.414719285483
17891.580428281355,14,pending,completed,,2,14,29,44.772235249431986,0,17881.80348028244
21053.711529073047,15,pending,completed,,2,15,30,66.90434800931097,0,21000.405328926474
