Scale,Method,Cost,Tasks,Cost/Task,N_instances
S,ALNS-FR,12345,17.2,719,30
S,ALNS-PR,5282,17.2,308,30
M,ALNS-FR,53791,34.8,1547,30
M,ALNS-PR,53600,34.8,1542,30
L,ALNS-FR,—,—,—,—
L,ALNS-PR,—,—,—,—
XL,ALNS-FR,175546,89.8,1956,30
XL,ALNS-PR,170514,89.8,1900,30
