step,time,event_type,event_time,selected_rule,selected_action_index,available_rules,masked,fallback_rule,reward,terminated,truncated,cost_travel,cost_charging,cost_tardiness,cost_conflict_wait,cost_rejection,cost_standby,cost_total
0,0.0,TASK_ARRIVAL,0.0,,,"11,12,1,2,3,4,13",False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,TASK_ARRIVAL,0.0,1,0,"11,12,1,2,3,4,13",False,,-14.0,False,False,14.0,0.0,0.0,0.0,0.0,0.0,14.0
