time,task_id,prev_status,status,prev_assigned_vehicle_id,assigned_vehicle_id,pickup_node_id,delivery_node_id,demand,priority,arrival_time,scenario_id
286.0533066054753,1,pending,pending,,,1,9,80.07283860232067,0,286.0533066054753,0
2562.987091671488,1,pending,pending,,,1,9,83.54279012348171,0,2562.987091671488,1
3502.388918112809,2,pending,pending,,,2,10,53.65727877745005,0,3502.388918112809,1
5231.43821379088,2,pending,pending,,,2,10,19.621351080390447,0,5231.43821379088,0
9854.745308965092,3,pending,pending,,,3,11,86.66780464390379,0,9854.745308965092,0
10052.317204077452,1,pending,pending,,,1,9,82.3081724102011,0,10052.317204077452,2
10472.730356868422,2,pending,pending,,,2,10,70.58549706270726,0,10472.730356868422,2
11508.841446591825,4,pending,pending,,,4,12,52.230575346922635,0,11508.841446591825,0
11611.267495406282,3,pending,pending,,,3,11,52.96351334571506,0,11611.267495406282,1
11698.924558114591,5,pending,pending,,,5,13,65.51870075507253,0,11698.924558114591,0
11705.47928790992,3,pending,pending,,,3,11,68.22830399676434,0,11705.47928790992,2
11834.79250906589,4,pending,pending,,,4,12,126.61384836097062,0,11834.79250906589,1
12268.546589856884,5,pending,pending,,,5,13,78.22011902821477,0,12268.546589856884,1
13153.737284322073,6,pending,pending,,,6,14,97.61307351431432,0,13153.737284322073,1
13650.449468978597,6,pending,pending,,,6,14,45.78435993973095,0,13650.449468978597,0
14451.41076579228,7,pending,pending,,,7,15,80.91238056429411,0,14451.41076579228,0
14491.452419294059,4,pending,pending,,,4,12,76.64207136747173,0,14491.452419294059,2
15212.02550614599,5,pending,pending,,,5,13,99.35476230504122,0,15212.02550614599,2
15702.570664938241,7,pending,pending,,,7,15,58.32259097850134,0,15702.570664938241,1
18219.09968258378,6,pending,pending,,,6,14,88.14953700440786,0,18219.09968258378,2
19176.361022353056,7,pending,pending,,,7,15,77.08629115305399,0,19176.361022353056,2
20169.6137223334,8,pending,pending,,,8,16,64.19985539884601,0,20169.6137223334,1
23034.244849347815,8,pending,pending,,,8,16,83.11591243512495,0,23034.244849347815,2
25438.890602683423,8,pending,pending,,,8,16,88.75663940846339,0,25438.890602683423,0
